ACC2;TYPE_CLIENT;RESIDENT;CNTR_PARTNER
30109;а;TRUE;FALSE
30111;а;FALSE;TRUE
30112;а;FALSE;FALSE
30114;;FALSE;FALSE
30222;а;FALSE;FALSE
30223;а;FALSE;FALSE
30227;а;FALSE;FALSE
30230;;FALSE;TRUE
30231;;FALSE;TRUE
30233;;FALSE;TRUE
30301;;FALSE;TRUE
30302;;FALSE;TRUE
30401;чк;TRUE;FALSE
30601;а;FALSE;FALSE
30603;а;FALSE;FALSE
30606;а;FALSE;FALSE
31501;а;FALSE;FALSE
31502;а;FALSE;FALSE
31503;а;FALSE;FALSE
31506;а;FALSE;FALSE
31507;а;FALSE;FALSE
31508;а;FALSE;FALSE
31509;а;FALSE;FALSE
31510;а;FALSE;FALSE
31602;а;FALSE;FALSE
31603;а;FALSE;FALSE
31604;а;FALSE;FALSE
31605;а;FALSE;FALSE
31606;а;FALSE;FALSE
40106;а;FALSE;FALSE
40502;чк;TRUE;FALSE
40503;чк;TRUE;FALSE
40601;чк;TRUE;FALSE
40602;чк;TRUE;FALSE
40603;чк;TRUE;FALSE
40701;чк;TRUE;FALSE
40702;чк;TRUE;FALSE
40703;чк;TRUE;FALSE
40802;хо;TRUE;FALSE
40804;;FALSE;FALSE
40805;;FALSE;FALSE
40806;;FALSE;FALSE
40807;чк;FALSE;FALSE
40809;;FALSE;FALSE
40813;;FALSE;FALSE
40814;;FALSE;FALSE
40815;;FALSE;FALSE
40817;тк;TRUE;FALSE
40818;чк тк;FALSE;FALSE
40819;чк тк;TRUE;FALSE
40820;тк;FALSE;FALSE
40901;чк;FALSE;FALSE
40905;;FALSE;FALSE
41508;;FALSE;FALSE
42008;;FALSE;FALSE
42108;;FALSE;FALSE
42301;тк;TRUE;FALSE
42502;чк;FALSE;FALSE
42503;чк;FALSE;FALSE
42504;чк;FALSE;FALSE
42601;тк;FALSE;FALSE
42603;тк;FALSE;FALSE
42604;тк;FALSE;FALSE
42605;тк;FALSE;FALSE
42606;тк;FALSE;FALSE
43204;чк;TRUE;FALSE
43205;чк;TRUE;FALSE
43206;чк;TRUE;FALSE
43207;чк;TRUE;FALSE
43801;чк;TRUE;FALSE
43802;чк;TRUE;FALSE
43803;чк;TRUE;FALSE
43804;чк;TRUE;FALSE
43805;чк;TRUE;FALSE
43806;чк;TRUE;FALSE
43807;чк;TRUE;FALSE
44001;чк;FALSE;FALSE
44003;чк;FALSE;FALSE
44004;чк;FALSE;FALSE
44005;чк;FALSE;FALSE
44006;чк;FALSE;FALSE
47405;а;FALSE;FALSE
47407;а;FALSE;FALSE
47408;а;FALSE;FALSE
47409;а;FALSE;FALSE
47416;;FALSE;TRUE
47422;а;FALSE;FALSE
47423;а;FALSE;FALSE
47426;а;FALSE;FALSE
60301;а;FALSE;FALSE
60303;а;FALSE;FALSE
60305;а;FALSE;FALSE
60312;а;FALSE;FALSE
60315;а;FALSE;FALSE
60320;а;FALSE;FALSE
60323;а;FALSE;FALSE
61207;а;FALSE;FALSE
70102;а;FALSE;FALSE
70107;а;FALSE;FALSE
70202;а;FALSE;FALSE
70204;а;FALSE;FALSE
70209;а;FALSE;FALSE
